ID;Marque;Modele;Constructeur;OS;Prix;Ecran;Processeur;RAM;Stockage;Batterie;Description
1;Samsung;Galaxy S24 Ultra;Samsung;Android 14;1399;6.8'' OLED 120Hz;Snapdragon;12Go RAM;256Go stockage;5000mAh;Le Samsung Galaxy S24 Ultra est un smartphone Samsung fonctionnant sous Android 14, proposé à environ CHF 1399. Il dispose d'un écran 6.8'' OLED 120Hz, alimenté par un processeur Snapdragon, avec 12Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
2;Apple;iPhone 16 Pro Max;Apple;iOS 18;1499;6.7'' OLED 120Hz;A18 Bionic;6Go RAM;128Go stockage;4352mAh;Le Apple iPhone 16 Pro Max est un smartphone Apple fonctionnant sous iOS 18, proposé à environ CHF 1499. Il dispose d'un écran 6.7'' OLED 120Hz, alimenté par un processeur A18 Bionic, avec 6Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 4352mAh assure une autonomie prolongée.
3;Google;Pixel 9 Pro XL;Google;Android 14;1199;6.8'' OLED 120Hz;Tensor G4;16Go RAM;512Go stockage;5060mAh;Le Google Pixel 9 Pro XL est un smartphone Google fonctionnant sous Android 14, proposé à environ CHF 1199. Il dispose d'un écran 6.8'' OLED 120Hz, alimenté par un processeur Tensor G4, avec 16Go RAM de mémoire vive et 512Go stockage de stockage interne. Sa batterie de 5060mAh assure une autonomie prolongée.
4;Xiaomi;14 Ultra;Xiaomi;Android 14;1099;6.81'' AMOLED 120Hz;Snapdragon;12Go RAM;256Go stockage;5000mAh;Le Xiaomi 14 Ultra est un smartphone Xiaomi fonctionnant sous Android 14, proposé à environ CHF 1099. Il dispose d'un écran 6.81'' AMOLED 120Hz, alimenté par un processeur Snapdragon, avec 12Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
5;Caterpillar;Cat S75;Caterpillar;Android 12;599;6.6'' FHD+ LCD 120Hz;MediaTek Dimensity 930;6 Go;128 Go;5000 mAh;Le Caterpillar Cat S75 est un smartphone ultra-résistant fonctionnant sous Android 12, proposé à environ CHF 599. Il dispose d’un écran 6.6'' FHD+ LCD 120Hz, alimenté par un processeur MediaTek Dimensity 930 avec 6 Go de RAM et 128 Go de stockage. Sa batterie de 5000 mAh lui permet de tenir facilement plusieurs jours même en conditions extrêmes. Conçu pour les environnements hostiles, il est certifié IP68, IP69K et MIL-STD-810H.
6;Huawei;Pura 70 Ultra;Huawei;EMUI 14.2;1099;6.8'' OLED 120Hz;Kirin 9010;12Go RAM;512Go stockage;5200mAh;Le Huawei Pura 70 Ultra est un smartphone Huawei fonctionnant sous EMUI 14.2, proposé à environ CHF 1099. Il dispose d'un écran 6.8'' OLED 120Hz, alimenté par un processeur Kirin 9010, avec 12Go RAM de mémoire vive et 512Go stockage de stockage interne. Sa batterie de 5200mAh assure une autonomie prolongée.
7;HONOR;Magic6 Pro;HONOR;Android 14;999;6.8'' OLED 120Hz;Snapdragon;12Go RAM;256Go stockage;5000mAh;Le HONOR Magic6 Pro est un smartphone HONOR fonctionnant sous Android 14, proposé à environ CHF 999. Il dispose d'un écran 6.8'' OLED 120Hz, alimenté par un processeur Snapdragon, avec 12Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
8;Samsung;Galaxy Z Fold6;Samsung;Android 14;1799;7.6'' AMOLED 120Hz;Snapdragon;12Go RAM;256Go stockage;4500mAh;Le Samsung Galaxy Z Fold6 est un smartphone Samsung fonctionnant sous Android 14, proposé à environ CHF 1799. Il dispose d'un écran 7.6'' AMOLED 120Hz, alimenté par un processeur Snapdragon, avec 12Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 4500mAh assure une autonomie prolongée.
9;Apple;iPhone 15 Pro Max;Apple;iOS 17;1399;6.7'' OLED 120Hz;A17 Bionic;6Go RAM;128Go stockage;4352mAh;Le Apple iPhone 15 Pro Max est un smartphone Apple fonctionnant sous iOS 17, proposé à environ CHF 1399. Il dispose d'un écran 6.7'' OLED 120Hz, alimenté par un processeur A17 Bionic, avec 6Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 4352mAh assure une autonomie prolongée.
10;Google;Pixel 8 Pro;Google;Android 13;999;6.7'' OLED 120Hz;Tensor G3;12Go RAM;128Go stockage;5000mAh;Le Google Pixel 8 Pro est un smartphone Google fonctionnant sous Android 13, proposé à environ CHF 999. Il dispose d'un écran 6.7'' OLED 120Hz, alimenté par un processeur Tensor G3, avec 12Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
11;Xiaomi;13T Pro;Xiaomi;Android 13;699;6.67'' AMOLED 144Hz;Dimensity 9200;12Go RAM;256Go stockage;5000mAh;Le Xiaomi 13T Pro est un smartphone Xiaomi fonctionnant sous Android 13, proposé à environ CHF 699. Il dispose d'un écran 6.67'' AMOLED 144Hz, alimenté par un processeur Dimensity 9200, avec 12Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
12;OnePlus;11;OnePlus;Android 13;799;6.7'' AMOLED 120Hz;Snapdragon;8Go RAM;128Go stockage;5000mAh;Le OnePlus 11 est un smartphone OnePlus fonctionnant sous Android 13, proposé à environ CHF 799. Il dispose d'un écran 6.7'' AMOLED 120Hz, alimenté par un processeur Snapdragon, avec 8Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
13;Samsung;Galaxy S23 Ultra;Samsung;Android 13;1199;;Snapdragon;8Go RAM;256Go stockage;5000mAh;Le Samsung Galaxy S23 Ultra est un smartphone Samsung fonctionnant sous Android 13, proposé à environ CHF 1199. Il dispose d'un écran nan, alimenté par un processeur Snapdragon, avec 8Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
14;Apple;iPhone 14 Pro Max;Apple;iOS 16;1299;6.7'' OLED 120Hz;A16 Bionic;6Go RAM;128Go stockage;4323mAh;Le Apple iPhone 14 Pro Max est un smartphone Apple fonctionnant sous iOS 16, proposé à environ CHF 1299. Il dispose d'un écran 6.7'' OLED 120Hz, alimenté par un processeur A16 Bionic, avec 6Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 4323mAh assure une autonomie prolongée.
15;Google;Pixel 7 Pro;Google;Android 13;899;6.7'' OLED 120Hz;Tensor G2;12Go RAM;128Go stockage;5000mAh;Le Google Pixel 7 Pro est un smartphone Google fonctionnant sous Android 13, proposé à environ CHF 899. Il dispose d'un écran 6.7'' OLED 120Hz, alimenté par un processeur Tensor G2, avec 12Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
16;Xiaomi;12 Pro;Xiaomi;Android 12;699;6.7'' AMOLED 120Hz;Snapdragon;8Go RAM;128Go stockage;4600mAh;Le Xiaomi 12 Pro est un smartphone Xiaomi fonctionnant sous Android 12, proposé à environ CHF 699. Il dispose d'un écran 6.7'' AMOLED 120Hz, alimenté par un processeur Snapdragon, avec 8Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 4600mAh assure une autonomie prolongée.
17;Samsung;Galaxy A54;Samsung;Android 13;499;6.4'' OLED 120Hz;Exynos 1380;8Go RAM;128Go stockage;5000mAh;Le Samsung Galaxy A54 est un smartphone Samsung fonctionnant sous Android 13, proposé à environ CHF 499. Il dispose d'un écran 6.4'' OLED 120Hz, alimenté par un processeur Exynos 1380, avec 8Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
18;Apple;iPhone SE (2024);Apple;iOS 17;649;;A17 Bionic;4Go RAM;64Go stockage;2018mAh;Le Apple iPhone SE (2024) est un smartphone Apple fonctionnant sous iOS 17, proposé à environ CHF 649. Il dispose d'un écran nan, alimenté par un processeur A17 Bionic, avec 4Go RAM de mémoire vive et 64Go stockage de stockage interne. Sa batterie de 2018mAh assure une autonomie prolongée.
19;Google;Pixel 6a;Google;Android 12;499;6.1'' OLED 60Hz;;6Go RAM;128Go stockage;4410mAh;Le Google Pixel 6a est un smartphone Google fonctionnant sous Android 12, proposé à environ CHF 499. Il dispose d'un écran 6.1'' OLED 60Hz, alimenté par un processeur nan, avec 6Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 4410mAh assure une autonomie prolongée.
20;Xiaomi;Redmi Note 12 Pro;Xiaomi;Android 12;399;6.67'' AMOLED 120Hz;Dimensity 1080;8Go RAM;256Go stockage;5000mAh;Le Xiaomi Redmi Note 12 Pro est un smartphone Xiaomi fonctionnant sous Android 12, proposé à environ CHF 399. Il dispose d'un écran 6.67'' AMOLED 120Hz, alimenté par un processeur Dimensity 1080, avec 8Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
21;OnePlus;Nord 2T;OnePlus;Android 12;449;6.43'' AMOLED 90Hz;Dimensity 1300;8Go RAM;128Go stockage;4500mAh;Le OnePlus Nord 2T est un smartphone OnePlus fonctionnant sous Android 12, proposé à environ CHF 449. Il dispose d'un écran 6.43'' AMOLED 90Hz, alimenté par un processeur Dimensity 1300, avec 8Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 4500mAh assure une autonomie prolongée.
22;Samsung;Galaxy Z Flip5;Samsung;Android 14;1099;6.7'' AMOLED 120Hz;Snapdragon;8Go RAM;128Go stockage;3700mAh;Le Samsung Galaxy Z Flip5 est un smartphone Samsung fonctionnant sous Android 14, proposé à environ CHF 1099. Il dispose d'un écran 6.7'' AMOLED 120Hz, alimenté par un processeur Snapdragon, avec 8Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 3700mAh assure une autonomie prolongée.
23;Huawei;Mate 50 Pro;Huawei;EMUI 13;1099;6.74'' OLED 120Hz;Snapdragon;12Go RAM;256Go stockage;4700mAh;Le Huawei Mate 50 Pro est un smartphone Huawei fonctionnant sous EMUI 13, proposé à environ CHF 1099. Il dispose d'un écran 6.74'' OLED 120Hz, alimenté par un processeur Snapdragon, avec 12Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 4700mAh assure une autonomie prolongée.
24;HONOR;Magic Vs;HONOR;Android 13;1049;7.9'' OLED 90Hz;Snapdragon;12Go RAM;512Go stockage;5000mAh;Le HONOR Magic Vs est un smartphone HONOR fonctionnant sous Android 13, proposé à environ CHF 1049. Il dispose d'un écran 7.9'' OLED 90Hz, alimenté par un processeur Snapdragon, avec 12Go RAM de mémoire vive et 512Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
25;Samsung;Galaxy M54;Samsung;Android 13;379;6.6'' LCD 120Hz;Exynos 1380;6Go RAM;128Go stockage;5000mAh;Le Samsung Galaxy M54 est un smartphone Samsung fonctionnant sous Android 13, proposé à environ CHF 379. Il dispose d'un écran 6.6'' LCD 120Hz, alimenté par un processeur Exynos 1380, avec 6Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
26;Apple;iPhone 13;Apple;iOS 16;799;6.1'' OLED 60Hz;A15 Bionic;4Go RAM;128Go stockage;3240mAh;Le Apple iPhone 13 est un smartphone Apple fonctionnant sous iOS 16, proposé à environ CHF 799. Il dispose d'un écran 6.1'' OLED 60Hz, alimenté par un processeur A15 Bionic, avec 4Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 3240mAh assure une autonomie prolongée.
27;Google;Pixel 5a;Google;Android 11;549;6.34'' OLED 60Hz;Snapdragon;6Go RAM;128Go stockage;4680mAh;Le Google Pixel 5a est un smartphone Google fonctionnant sous Android 11, proposé à environ CHF 549. Il dispose d'un écran 6.34'' OLED 60Hz, alimenté par un processeur Snapdragon, avec 6Go RAM de mémoire vive et 128Go stockage de stockage interne. Sa batterie de 4680mAh assure une autonomie prolongée.
28;Xiaomi;Poco F5 Pro;Xiaomi;Android 13;549;6.67'' AMOLED 120Hz;Snapdragon;8Go RAM;256Go stockage;4700mAh;Le Xiaomi Poco F5 Pro est un smartphone Xiaomi fonctionnant sous Android 13, proposé à environ CHF 549. Il dispose d'un écran 6.67'' AMOLED 120Hz, alimenté par un processeur Snapdragon, avec 8Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 4700mAh assure une autonomie prolongée.
29;Samsung;Galaxy A14;Samsung;Android 13;199;6.6'' LCD 90Hz;Exynos 850;4Go RAM;64Go stockage;5000mAh;Le Samsung Galaxy A14 est un smartphone Samsung fonctionnant sous Android 13, proposé à environ CHF 199. Il dispose d'un écran 6.6'' LCD 90Hz, alimenté par un processeur Exynos 850, avec 4Go RAM de mémoire vive et 64Go stockage de stockage interne. Sa batterie de 5000mAh assure une autonomie prolongée.
30;Huawei;P50 Pocket;Huawei;EMUI 13;999;6.9'' OLED 120Hz;Snapdragon;8Go RAM;256Go stockage;4500mAh;Le Huawei P50 Pocket est un smartphone Huawei fonctionnant sous EMUI 13, proposé à environ CHF 999. Il dispose d'un écran 6.9'' OLED 120Hz, alimenté par un processeur Snapdragon, avec 8Go RAM de mémoire vive et 256Go stockage de stockage interne. Sa batterie de 4500mAh assure une autonomie prolongée.
